Chem_Name,CASno,SMILES,Molecular_formula
Nitrobenzene,98-95-3,C1=CC=C(C=C1)[N+](=O)[O-],C6H5NO2
Nitrocellulose,9004-70-0,C(C1C(C(C(C(O1)OC2C(OC(C(C2O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])OC3C(C(C(C(O3)CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],C18H21N11O38
Nitroethane,79-24-3,CC[N+](=O)[O-],C2H5NO2
Nitrogen dioxide,10102-44-0,N(=O)[O],NO2
Nitrogen tetroxide,10544-72-6,[N+](=O)([N+](=O)[O-])[O-],N2O4
"Nitrogen, Elemental",7727-37-9,N#N,N2
Nitroglycerin,55-63-0,C(C(CO[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],C3H5N3O9
Nitromethane,75-52-5,C[N+](=O)[O-],CH3NO2
Nitrous oxide,10024-97-2,[N-]=[N+]=O,N2O
n-Methylformamide,123-39-7,CNC=O,C2H5NO
n-Nitrosodi-n-propylamine,621-64-7,CCCN(CCC)N=O,C6H14N2O
n-Nitrosodimethylamine,62-75-9,CN(C)N=O,C2H6N2O
n-Nitrosodiphenylamine,86-30-6,C1=CC=C(C=C1)N(C2=CC=CC=C2)N=O,C12H10N2O
n-Nonane,111-84-2,CCCCCCCCC,C9H20
n-Octane,111-65-9,CCCCCCCC,C8H18
n-Pentane,109-66-0,CCCCC,C5H12
n-Propylbenzene,103-65-1,CCCC1=CC=CC=C1,C9H12
n-Undecane,1120-21-4,CCCCCCCCCCC,C11H24
o-Cresol,95-48-7,CC1=CC=CC=C1O,C7H8O
Oleum,8014-95-7,OS(=O)(=O)O.O=S(=O)=O,H2O7S2
Oxygen,7782-44-7,O=O,O2
Ozone,10028-15-6,[O-][O+]=O,O3
"Palladium, Elemental",7440-05-03,[Pd],Pd
Paraquat,4685-14-7,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,C12H14N2+2
Parathion,56-38-2,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+](=O)[O-],C10H14NO5PS
p-Cresol,106-44-5,CC1=CC=C(C=C1)O,C7H8O
