ChemicalName,MACCSKey,Relationship
"2,4-Dinitrophenol",maccs159,hasKey
"2,4-Dinitrophenol",maccs161,hasKey
"2,4-Dinitrophenol",maccs162,hasKey
"2,4-Dinitrophenol",maccs163,hasKey
"2,4-Dinitrophenol",maccs164,hasKey
"2,4-Dinitrophenol",maccs165,hasKey
"2,4-Dinitrotoluene",maccs024,hasKey
"2,4-Dinitrotoluene",maccs049,hasKey
"2,4-Dinitrotoluene",maccs056,hasKey
"2,4-Dinitrotoluene",maccs063,hasKey
"2,4-Dinitrotoluene",maccs070,hasKey
"2,4-Dinitrotoluene",maccs071,hasKey
"2,4-Dinitrotoluene",maccs080,hasKey
"2,4-Dinitrotoluene",maccs094,hasKey
"2,4-Dinitrotoluene",maccs102,hasKey
"2,4-Dinitrotoluene",maccs119,hasKey
"2,4-Dinitrotoluene",maccs122,hasKey
"2,4-Dinitrotoluene",maccs124,hasKey
"2,4-Dinitrotoluene",maccs130,hasKey
"2,4-Dinitrotoluene",maccs133,hasKey
"2,4-Dinitrotoluene",maccs135,hasKey
"2,4-Dinitrotoluene",maccs136,hasKey
"2,4-Dinitrotoluene",maccs140,hasKey
"2,4-Dinitrotoluene",maccs142,hasKey
"2,4-Dinitrotoluene",maccs144,hasKey
"2,4-Dinitrotoluene",maccs146,hasKey
"2,4-Dinitrotoluene",maccs148,hasKey
"2,4-Dinitrotoluene",maccs150,hasKey
"2,4-Dinitrotoluene",maccs156,hasKey
"2,4-Dinitrotoluene",maccs158,hasKey
"2,4-Dinitrotoluene",maccs159,hasKey
"2,4-Dinitrotoluene",maccs160,hasKey
"2,4-Dinitrotoluene",maccs161,hasKey
"2,4-Dinitrotoluene",maccs162,hasKey
"2,4-Dinitrotoluene",maccs163,hasKey
"2,4-Dinitrotoluene",maccs164,hasKey
"2,4-Dinitrotoluene",maccs165,hasKey
"2,4-Toluene Diisocyanate",maccs078,hasKey
"2,4-Toluene Diisocyanate",maccs080,hasKey
"2,4-Toluene Diisocyanate",maccs110,hasKey
"2,4-Toluene Diisocyanate",maccs117,hasKey
"2,4-Toluene Diisocyanate",maccs119,hasKey
"2,4-Toluene Diisocyanate",maccs133,hasKey
"2,4-Toluene Diisocyanate",maccs135,hasKey
"2,4-Toluene Diisocyanate",maccs136,hasKey
"2,4-Toluene Diisocyanate",maccs142,hasKey
"2,4-Toluene Diisocyanate",maccs144,hasKey
"2,4-Toluene Diisocyanate",maccs150,hasKey
"2,4-Toluene Diisocyanate",maccs154,hasKey
"2,4-Toluene Diisocyanate",maccs156,hasKey
"2,4-Toluene Diisocyanate",maccs158,hasKey
"2,4-Toluene Diisocyanate",maccs159,hasKey
"2,4-Toluene Diisocyanate",maccs160,hasKey
"2,4-Toluene Diisocyanate",maccs161,hasKey
"2,4-Toluene Diisocyanate",maccs162,hasKey
"2,4-Toluene Diisocyanate",maccs163,hasKey
"2,4-Toluene Diisocyanate",maccs164,hasKey
"2,4-Toluene Diisocyanate",maccs165,hasKey
"2,6-Toluene Diisocyanate",maccs078,hasKey
"2,6-Toluene Diisocyanate",maccs080,hasKey
"2,6-Toluene Diisocyanate",maccs110,hasKey
"2,6-Toluene Diisocyanate",maccs117,hasKey
"2,6-Toluene Diisocyanate",maccs119,hasKey
"2,6-Toluene Diisocyanate",maccs133,hasKey
"2,6-Toluene Diisocyanate",maccs135,hasKey
"2,6-Toluene Diisocyanate",maccs136,hasKey
"2,6-Toluene Diisocyanate",maccs142,hasKey
"2,6-Toluene Diisocyanate",maccs144,hasKey
"2,6-Toluene Diisocyanate",maccs150,hasKey
"2,6-Toluene Diisocyanate",maccs154,hasKey
"2,6-Toluene Diisocyanate",maccs156,hasKey
"2,6-Toluene Diisocyanate",maccs158,hasKey
"2,6-Toluene Diisocyanate",maccs159,hasKey
"2,6-Toluene Diisocyanate",maccs160,hasKey
"2,6-Toluene Diisocyanate",maccs161,hasKey
"2,6-Toluene Diisocyanate",maccs162,hasKey
"2,6-Toluene Diisocyanate",maccs163,hasKey
"2,6-Toluene Diisocyanate",maccs164,hasKey
"2,6-Toluene Diisocyanate",maccs165,hasKey
2-Aminotoluene,maccs084,hasKey
2-Aminotoluene,maccs133,hasKey
2-Aminotoluene,maccs135,hasKey
2-Aminotoluene,maccs144,hasKey
2-Aminotoluene,maccs150,hasKey
2-Aminotoluene,maccs151,hasKey
2-Aminotoluene,maccs156,hasKey
2-Aminotoluene,maccs158,hasKey
2-Aminotoluene,maccs160,hasKey
2-Aminotoluene,maccs161,hasKey
2-Aminotoluene,maccs162,hasKey
2-Aminotoluene,maccs163,hasKey
2-Aminotoluene,maccs165,hasKey
2-Chloroethanol,maccs082,hasKey
2-Chloroethanol,maccs103,hasKey
2-Chloroethanol,maccs104,hasKey
